Configuration,Type,Size
Round,Bugpin/Liners,1
Round,Bugpin/Liners,3
Round,Bugpin/Liners,5
Round,Bugpin/Liners,7
Round,Bugpin/Liners,8
Round,Bugpin/Liners,9
Round,Bugpin/Liners,11
Round,Bugpin/Liners,14
Round,Bugpin/Liners,18
Round,Tight/Liners,1
Round,Tight/Liners,3
Round,Tight/Liners,5
Round,Tight/Liners,7
Round,Tight/Liners,8
Round,Tight/Liners,9
Round,Tight/Liners,11
Round,Tight/Liners,14
Round,Tight/Liners,18
Round,Standard/Liners,1
Round,Standard/Liners,3
Round,Standard/Liners,5
Round,Standard/Liners,7
Round,Standard/Liners,8
Round,Standard/Liners,9
Round,Standard/Liners,11
Round,Standard/Liners,14
Round,Standard/Liners,18
Round,Standard/Liners,19
Round,Standard/Liners,23
Round,Shaders,3
Round,Shaders,5
Round,Shaders,7
Round,Shaders,8
Round,Shaders,9
Round,Shaders,11
Round,Shaders,14
Round,Shaders,18
Magnum,Bugpin,7
Magnum,Bugpin,9
Magnum,Bugpin,11
Magnum,Bugpin,13
Magnum,Bugpin,15
Magnum,Bugpin,17
Magnum,Bugpin,19
Magnum,Bugpin,21
Magnum,Bugpin,23
Magnum,Bugpin,25
Magnum,Bugpin,27
Magnum,Squared tip,5
Magnum,Squared tip,7
Magnum,Squared tip,9
Magnum,Squared tip,11
Magnum,Squared tip,13
Magnum,Squared tip,15
Magnum,Squared tip,17
Magnum,Squared tip,19
Magnum,Squared tip,21
Magnum,Squared tip,23
Magnum,Curved tip,7
Magnum,Curved tip,9
Magnum,Curved tip,11
Magnum,Curved tip,13
Magnum,Curved tip,15
Magnum,Curved tip,17
Magnum,Curved tip,19
Magnum,Curved tip,21
Magnum,Curved tip,23
Magnum,Double stack,5
Magnum,Double stack,7
Magnum,Double stack,9
Magnum,Double stack,11
Magnum,Double stack,13
Magnum,Double stack,15
Magnum,Double stack,17
Magnum,Double stack,19
Magnum,Double stack,21
Magnum,Double stack,23
Magnum,Super,23
Magnum,Super,25
Magnum,Super,27
Magnum,Super,45
Magnum,Super,49
Magnum,Super,51
